Date,B1,B2,B3,B4,B5,S1
2008-10-06,19,33,41,24,27,9
2008-10-08,24,48,32,41,22,1
2008-10-11,46,22,10,39,20,4
2008-10-13,11,10,41,37,48,4
2008-10-15,49,28,18,20,40,1
2008-10-18,44,35,4,32,39,10
2008-10-20,43,7,48,31,15,3
2008-10-22,11,28,12,48,14,2
2008-10-25,13,11,22,46,19,3
2008-10-27,46,37,44,4,6,2
2008-10-29,43,28,22,41,49,4
2008-11-01,22,4,27,36,45,3
2008-11-03,26,2,23,20,24,8
2008-11-05,47,4,38,15,8,7
2008-11-08,25,35,33,5,22,9
2008-11-10,12,9,21,45,38,6
2008-11-12,45,35,34,40,23,5
2008-11-15,41,10,48,43,22,3
2008-11-17,1,6,19,23,41,6
2008-11-19,34,26,37,41,2,4
2008-11-22,45,12,30,36,20,6
2008-11-24,43,36,31,30,17,8
2008-11-26,49,11,13,25,28,5
2008-11-29,18,36,20,32,22,7
2008-12-01,32,15,19,37,38,1
2008-12-03,26,29,34,42,31,10
2008-12-06,48,2,5,13,24,4
2008-12-08,29,15,1,31,11,8
2008-12-10,41,38,10,35,11,3
2008-12-13,24,38,8,42,31,7
2008-12-15,48,5,15,2,27,8
2008-12-17,49,44,31,13,33,9
2008-12-20,41,46,2,22,26,5
2008-12-22,5,27,2,35,48,3
2008-12-24,33,27,2,41,4,5
2008-12-27,36,47,17,49,37,10
2008-12-29,26,38,14,21,27,4
2008-12-31,11,5,20,30,24,8
2009-01-03,47,22,24,12,38,1
2009-01-05,8,29,36,25,11,2
2009-01-07,37,39,9,33,11,8
2009-01-10,49,40,21,10,44,2
2009-01-12,47,11,29,4,9,8
2009-01-14,5,42,1,19,13,3
2009-01-17,2,46,27,37,5,4
2009-01-19,39,38,7,32,26,9
2009-01-21,32,47,10,35,3,3
2009-01-24,5,40,15,20,28,10
2009-01-26,39,8,13,49,10,10
2009-01-28,40,7,41,38,46,5
2009-01-31,6,31,40,18,36,7
2009-02-02,4,38,12,31,41,8
2009-02-04,20,43,47,27,10,3
2009-02-07,4,16,34,22,49,10
2009-02-09,17,13,31,3,46,5
2009-02-11,35,46,10,1,14,8
2009-02-14,12,24,18,44,16,4
2009-02-16,46,23,29,21,16,4
2009-02-18,28,40,10,23,43,9
2009-02-21,47,21,48,39,40,5
2009-02-23,3,14,34,31,22,7
2009-02-25,15,4,21,30,36,4
2009-02-28,45,14,41,25,16,10
2009-03-02,41,29,14,48,8,10
2009-03-04,7,9,29,25,10,6
2009-03-07,36,15,24,2,22,8
2009-03-09,27,32,5,40,3,9
2009-03-11,4,7,11,22,8,5
2009-03-14,27,18,20,11,38,6
2009-03-16,27,45,35,36,44,2
